Доброта (Положительное, Моральное)
Смелость (Положительное, Эмоциональное)
Честность (Положительное, Моральное)
Щедрость (Положительное, Социальное)
Эмпатия (Положительное, Эмоциональное)
Лень (Отрицательное, Социальное)
Лицемерие (Отрицательное, Моральное)
Жадность (Отрицательное, Социальное)
Вспыльчивость (Отрицательное, Эмоциональное)
Высокомерие (Отрицательное, Социальное)
Сдержанность (Нейтральное, Эмоциональное)
Любопытство (Нейтральное, Интеллектуальное)
Замкнутость (Нейтральное, Социальное)
Терпение (Положительное, Эмоциональное)
Ответственность (Положительное, Моральное)
